announcement_id,sec_code,symbol,sec_name,report_kind,report_period,publication_date,first_publication_date,title,manager,product_names,source_url,search_terms,source_snippet
1209484270,600081,600081.SS,东风科技,FY,2020-12-31,2021-03-30,2021-03-30,东风科技：东风电子科技股份有限公司2020年年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2021-03-31/1209484270.PDF,宁波幻方,"周亚芬 50,000 868,600 0.28 0 无 0 境内自然人 浙江九章资产管理有限公司－九章幻方中证"
1209711981,600120,600120.SS,浙江东方,FY,2020-12-31,2021-04-16,2021-04-16,浙江东方：浙江东方金融控股集团股份有限公司2020年年度报告,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-04-17/1209711981.PDF,宁波幻方,"10,000.00 2020-09-16 2021-09-15 自有资金 证券 浮动收益 是 否 宁波幻方量化投资管理合伙企业"
1217360305,600257,600257.SS,大湖股份,FY,2020-12-31,2023-07-21,2021-04-29,大湖股份：大湖水殖股份有限公司2020年年度报告（更正后）,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2023-07-22/1217360305.PDF,宁波幻方,"未知 华泰证券股份有限公司 2,332,112 2,352,003 0.49 0 未知 0 未知 宁波幻方量化投资管理合伙企业"
1209681003,600313,600313.SS,农发种业,FY,2020-12-31,2021-04-13,2021-04-13,农发种业：农发种业2020年年度报告全文,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-04-14/1209681003.PDF,宁波幻方,"4,574,628 0.42 未知 国有法人 张紫阳 3,986,900 0.37 未知 境内自然人 宁波幻方量化投资管理合伙企业"
1209418915,600956,600956.SS,新天绿能,FY,2020-12-31,2021-03-19,2021-03-19,新天绿能：新天绿能2020年年度报告,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-03-20/1209418915.PDF,宁波幻方,"880,800 人民币普通股 沈晓明 807,100 人民币普通股 夏红艳 806,000 人民币普通股 宁波幻方量化投资管理合伙企业"
1209810054,601702,601702.SS,华峰铝业,FY,2020-12-31,2021-04-26,2021-04-26,华峰铝业：上海华峰铝业股份有限公司2020年年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2021-04-27/1209810054.PDF,宁波幻方,"0 5,000,000 0.50 5,000,000 无 0 其他 浙江九章资产管理有限公司－九章幻方青溪"
1209723661,002998,002998.SZ,优彩资源,Q1,2021-03-31,2021-04-19,2021-04-19,优彩资源：2021年第一季度报告全文,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2021-04-20/1209723661.PDF,宁波幻方,"519,900 刘剑锋 500,000 人民币普通股 500,000 浙江九章资产管理有限公司－九章幻方青溪"
1209855660,003027,003027.SZ,同兴环保,Q1,2021-03-31,2021-04-28,2021-04-28,同兴环保：2021年第一季度报告全文,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2021-04-29/1209855660.PDF,宁波幻方,"284,100 刘锡东 211,331 人民币普通股 211,331 浙江九章资产管理有限公司－九章幻方皓月"
1209842169,600722,600722.SS,金牛化工,Q1,2021-03-31,2021-04-27,2021-04-27,金牛化工：金牛化工2021年一季度报告,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-04-28/1209842169.PDF,宁波幻方,"1,078,800 0.16 0 无 0 境内自然人 徐胜 1,077,301 0.16 0 无 0 境内自然人 宁波幻方量化投资管理合伙企业"
1209859221,603222,603222.SS,济民制药,Q1,2021-03-31,2021-04-28,2021-04-28,济民制药：济民健康管理股份有限公司2021年第一季度报告正文,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-04-29/1209859221.PDF,宁波幻方,"3,400,000 1.06 0 无 0 境内自然人 别涌 3,400,000 1.06 0 无 0 境内自然人 宁波幻方量化投资管理合伙企业"
1209810579,605018,605018.SS,长华股份,Q1,2021-03-31,2021-04-26,2021-04-26,长华股份：长华股份2021年第一季度报告正文,浙江九章资产,"[""幻方星月石私募基金""]",https://static.cninfo.com.cn/finalpage/2021-04-27/1209810579.PDF,宁波幻方,"0 境内自然人 陈晓辉 315,000 0.08 0 无 0 境内自然人 浙江九章资产管理有限公司－幻方星月石私募基金"
1210898323,300588,300588.SZ,熙菱信息,H1,2021-06-30,2021-08-27,2021-08-27,熙菱信息：2021年半年度报告,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-08-28/1210898323.PDF,宁波幻方,"552,840 552,840 0 0 殷枫 境内自然人 0.33% 550,000 0 0 0 宁波幻方量化投资管理合伙企业"
1210687553,300663,300663.SZ,科蓝软件,H1,2021-06-30,2021-08-08,2021-08-08,科蓝软件：2021年半年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2021-08-09/1210687553.PDF,宁波幻方,"（有限合伙） 1,516,952 人民币普通股 1,516,952 浙江九章资产管理有限公司－九章幻方青溪"
1210792097,300821,300821.SZ,东岳硅材,H1,2021-06-30,2021-08-19,2021-08-19,东岳硅材：2021年半年度报告,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-08-20/1210792097.PDF,宁波幻方,"706,608 人民币普通股 706,608 吴理觉 687,000 人民币普通股 687,000 宁波幻方量化投资管理合伙企业"
